timestamp,source_ip,destination_ip,user,log_type,protocol,port,bytes_sent,bytes_received,login_status,failed_login_count,http_method,url,status_code,label
2026-01-01 01:37:38.000,10.0.6.182,139.178.212.228,harperjason,web,TCP,443,1544,2176,,,POST,/profile,200.0,Normal
2026-01-01 01:40:39.000,10.0.17.24,10.0.1.188,margaret00,web,TCP,443,337,331,,,GET,/db-console,200.0,Unauthorized Access
2026-01-01 01:44:19.000,10.0.20.30,10.0.1.9,brandon67,web,TCP,443,600,770,,,GET,/payroll,200.0,Unauthorized Access
2026-01-01 01:44:33.000,10.0.6.247,10.0.8.208,sharonwhite,auth,TCP,22,1133,1660,SUCCESS,0.0,,,,Normal
2026-01-01 01:49:19.000,10.0.8.64,248.117.125.196,jessica30,web,TCP,443,704,1472,,,GET,/api/status,200.0,Normal
2026-01-01 01:49:23.000,10.0.0.196,177.211.129.163,ebaker,web,TCP,443,2622,2700,,,POST,/products,200.0,Normal
2026-01-01 01:56:15.000,10.0.20.30,10.0.17.24,williamsjason,web,TCP,443,985,433,,,GET,/payroll,200.0,Unauthorized Access
2026-01-01 02:03:22.000,10.0.3.93,146.174.146.142,gvazquez,web,TCP,443,507,2237,,,GET,/search,200.0,Normal
2026-01-01 02:04:15.000,10.0.7.199,171.52.38.186,gregory21,web,TCP,443,1690,1367,,,POST,/cart,200.0,Normal
2026-01-01 02:11:29.000,10.0.0.191,10.0.12.22,natasha71,auth,TCP,22,1693,1797,SUCCESS,0.0,,,,Normal
2026-01-01 02:18:19.000,10.0.2.57,10.0.13.89,ebaker,network,UDP,443,3718,3033,,,,,,Normal
2026-01-01 02:19:14.000,10.0.0.196,41.147.113.208,fullerchristopher,web,TCP,443,2068,1759,,,POST,/products,200.0,Normal
2026-01-01 02:20:58.000,10.0.3.93,10.0.13.89,sharonwhite,network,TCP,3389,3773,1413,,,,,,Normal
2026-01-01 02:21:50.000,10.0.9.254,10.0.1.9,davismartin,auth,TCP,22,1542,1664,SUCCESS,0.0,,,,Normal
2026-01-01 02:24:07.000,10.0.0.191,148.238.178.176,zbradshaw,web,TCP,443,2346,1202,,,POST,/cart,200.0,Normal
2026-01-01 02:28:17.000,10.0.2.99,10.0.3.251,woodvickie,web,TCP,443,752,699,,,GET,/backup,200.0,Unauthorized Access
2026-01-01 02:33:50.000,10.0.14.139,190.163.86.147,cjackson,web,TCP,443,2145,1059,,,GET,/search,200.0,Normal
2026-01-01 02:43:05.000,10.0.11.149,10.0.17.24,davismartin,auth,TCP,22,1540,769,SUCCESS,0.0,,,,Normal
2026-01-01 02:46:26.000,4.66.7.201,10.0.8.208,,web,TCP,443,386,376,,,GET,/search?q=1; DROP TABLE users--,500.0,Phishing/Web Attack
2026-01-01 02:48:04.000,10.0.7.199,10.0.3.251,dyerraymond,web,TCP,443,663,899,,,GET,/payroll,200.0,Unauthorized Access
2026-01-01 03:00:23.000,91.140.211.165,10.0.1.9,,web,TCP,443,145,278,,,GET,/search?q=' UNION SELECT * FROM users--,500.0,Phishing/Web Attack
2026-01-01 03:02:42.000,10.0.8.64,10.0.7.131,simpsondavid,auth,TCP,22,1405,1083,SUCCESS,0.0,,,,Normal
2026-01-01 03:04:56.000,10.0.20.181,10.0.8.208,jessica30,web,TCP,443,250,311,,,GET,/backup,200.0,Unauthorized Access
2026-01-01 03:06:50.000,10.0.2.220,219.204.238.121,woodvickie,web,TCP,443,1371,2255,,,GET,/cart,200.0,Normal
2026-01-01 03:14:12.000,10.0.3.99,10.0.1.188,jlogan,network,TCP,3306,1756,3490,,,,,,Normal
2026-01-01 03:14:32.000,10.0.11.156,10.0.7.223,sharonwhite,web,TCP,443,542,450,,,GET,/config,200.0,Unauthorized Access
2026-01-01 03:21:45.000,10.0.9.254,10.0.7.131,anthony91,auth,TCP,22,1927,963,SUCCESS,0.0,,,,Normal
2026-01-01 03:25:20.000,10.0.20.30,10.0.19.8,gvazquez,auth,TCP,22,1730,795,SUCCESS,0.0,,,,Normal
2026-01-01 03:29:00.000,10.0.5.180,10.0.2.13,williamsjason,auth,TCP,22,1425,231,SUCCESS,0.0,,,,Normal
2026-01-01 03:30:05.000,10.0.3.251,33.126.163.121,lisahancock,web,TCP,443,2407,2140,,,POST,/home,200.0,Normal
2026-01-01 03:31:21.000,71.255.179.220,10.0.6.247,,web,TCP,443,369,253,,,POST,"/search?q=""><img src=x onerror=alert(1)>",500.0,Phishing/Web Attack
2026-01-01 03:34:45.000,10.0.2.99,30.40.124.152,kristinschneider,web,TCP,443,766,1538,,,GET,/api/status,200.0,Normal
2026-01-01 03:39:31.000,10.0.0.191,10.0.1.9,lisahancock,network,UDP,21,1235,4068,,,,,,Normal
2026-01-01 03:42:21.000,10.0.11.149,10.0.1.188,margaret00,auth,TCP,22,524,1933,SUCCESS,0.0,,,,Normal
2026-01-01 03:42:27.000,10.0.7.116,10.0.20.30,jennifergonzalez,web,TCP,443,999,538,,,GET,/backup,200.0,Unauthorized Access
2026-01-01 03:42:35.000,10.0.10.28,10.0.8.208,allenbeverly,auth,TCP,22,1291,957,SUCCESS,0.0,,,,Normal
2026-01-01 03:46:56.000,10.0.17.52,10.0.1.9,ashleyrios,auth,TCP,22,267,815,SUCCESS,0.0,,,,Normal
2026-01-01 03:47:57.000,10.0.10.28,10.0.7.223,natashabailey,network,TCP,3389,1115,2753,,,,,,Normal
2026-01-01 03:54:47.000,10.0.6.182,255.208.79.167,haysthomas,web,TCP,443,1255,2499,,,GET,/home,200.0,Normal
2026-01-01 04:03:50.000,10.0.7.199,119.164.120.141,jennifer29,web,TCP,443,2122,2923,,,GET,/home,200.0,Normal
2026-01-01 04:08:16.000,10.0.8.41,10.0.2.13,christian36,auth,TCP,22,1644,1357,SUCCESS,0.0,,,,Normal
2026-01-01 04:11:09.000,10.0.2.57,10.0.13.89,kevinkoch,auth,TCP,22,1010,1624,SUCCESS,0.0,,,,Normal
2026-01-01 04:15:08.000,10.0.0.191,10.0.12.22,joseph63,network,TCP,80,2324,4969,,,,,,Normal
2026-01-01 04:18:11.000,10.0.6.182,81.235.133.39,martintammy,web,TCP,443,2567,1314,,,POST,/api/status,200.0,Normal
2026-01-01 04:18:28.000,10.0.0.191,10.0.8.41,natashabailey,web,TCP,443,341,344,,,GET,/admin,200.0,Unauthorized Access
2026-01-01 04:28:56.000,10.0.7.223,10.0.12.22,melaniemeyer,network,UDP,22,4568,1438,,,,,,Normal
2026-01-01 04:30:52.000,10.0.5.180,10.0.9.254,fwashington,web,TCP,443,645,539,,,GET,/db-console,200.0,Unauthorized Access
2026-01-01 04:31:23.000,10.0.2.99,10.0.9.254,brandon67,auth,TCP,22,624,829,SUCCESS,0.0,,,,Normal
2026-01-01 04:32:58.000,10.0.17.77,10.0.2.57,perryhector,network,TCP,3306,4288,3211,,,,,,Normal
2026-01-01 04:52:02.000,10.0.2.57,10.0.18.73,brownsamantha,auth,TCP,22,376,1522,SUCCESS,0.0,,,,Normal
2026-01-01 04:57:33.000,36.176.20.112,10.0.0.196,,web,TCP,443,255,107,,,POST,"/search?q=""><img src=x onerror=alert(1)>",403.0,Phishing/Web Attack
2026-01-01 04:58:54.000,10.0.3.93,10.0.9.254,webbchristopher,auth,TCP,22,845,317,SUCCESS,0.0,,,,Normal
2026-01-01 05:00:37.000,10.0.20.181,10.0.20.30,jennifer29,auth,TCP,22,722,1675,SUCCESS,0.0,,,,Normal
2026-01-01 05:01:04.000,10.0.11.156,10.0.0.191,woodvickie,auth,TCP,22,1366,449,SUCCESS,0.0,,,,Normal
2026-01-01 05:03:41.000,10.0.3.175,10.0.2.57,tracy49,auth,TCP,22,1112,1456,SUCCESS,0.0,,,,Normal
2026-01-01 05:03:51.000,10.0.2.99,10.0.11.156,cassandrasmith,network,TCP,443,3646,2325,,,,,,Normal
2026-01-01 05:05:33.000,10.0.0.196,10.0.3.93,dustinschmidt,network,UDP,8080,1283,1449,,,,,,Normal
2026-01-01 05:13:48.000,10.0.6.247,10.148.111.154,williamsjason,web,TCP,443,1383,949,,,GET,/profile,200.0,Normal
2026-01-01 05:27:34.000,10.0.18.73,10.0.13.89,gvazquez,auth,TCP,22,1494,691,SUCCESS,0.0,,,,Normal
2026-01-01 05:30:46.000,10.0.17.77,227.41.197.19,zbradshaw,web,TCP,443,1113,1572,,,GET,/api/status,200.0,Normal
2026-01-01 05:40:42.000,10.0.9.254,10.0.8.41,webbchristopher,auth,TCP,22,1904,1113,SUCCESS,0.0,,,,Normal
2026-01-01 05:43:24.000,10.0.1.188,10.0.17.77,margaret00,auth,TCP,22,1506,226,SUCCESS,0.0,,,,Normal
2026-01-01 05:47:09.000,10.0.8.41,10.0.11.156,margaret00,network,UDP,21,1574,1286,,,,,,Normal
2026-01-01 05:47:53.000,10.0.0.196,110.23.167.121,cassandrasmith,web,TCP,443,854,703,,,POST,/products,200.0,Normal
2026-01-01 05:49:25.000,10.0.1.9,10.0.2.57,hickseric,network,TCP,3306,1661,3020,,,,,,Normal
2026-01-01 05:55:02.000,10.0.10.28,10.0.7.131,anthony91,network,TCP,80,3668,2621,,,,,,Normal
2026-01-01 05:59:52.000,10.0.1.188,153.121.41.228,brandon67,web,TCP,443,1699,742,,,GET,/api/status,200.0,Normal
2026-01-01 06:01:06.000,10.0.11.156,221.164.155.48,hodgeskimberly,web,TCP,443,1855,975,,,GET,/products,200.0,Normal
2026-01-01 06:11:31.000,10.0.13.89,250.63.60.69,richard59,web,TCP,443,1140,1885,,,GET,/api/status,200.0,Normal
2026-01-01 06:29:21.000,10.0.10.28,10.0.17.77,lisahancock,auth,TCP,22,1424,1347,SUCCESS,0.0,,,,Normal
2026-01-01 06:32:46.000,10.0.2.13,10.0.7.199,cmccoy,network,UDP,443,2824,2233,,,,,,Normal
2026-01-01 06:39:58.000,10.0.1.9,7.208.186.177,kristinschneider,web,TCP,443,1147,1103,,,GET,/cart,200.0,Normal
2026-01-01 06:41:23.000,10.0.7.131,199.59.123.100,allenbeverly,web,TCP,443,903,1461,,,GET,/profile,200.0,Normal
2026-01-01 06:46:33.000,10.0.14.139,10.0.7.37,nicoleescobar,auth,TCP,22,818,663,SUCCESS,0.0,,,,Normal
2026-01-01 06:57:58.000,10.0.18.110,10.0.9.254,christian36,auth,TCP,22,1572,248,SUCCESS,0.0,,,,Normal
2026-01-01 07:01:16.000,10.0.0.191,197.161.250.167,hickseric,web,TCP,443,301,2936,,,GET,/cart,200.0,Normal
2026-01-01 07:07:46.000,10.0.2.13,10.0.20.30,fwashington,auth,TCP,22,1588,1565,SUCCESS,0.0,,,,Normal
2026-01-01 07:11:23.000,192.19.84.18,10.0.2.57,,web,TCP,443,437,177,,,GET,/search?q=1; DROP TABLE users--,500.0,Phishing/Web Attack
2026-01-01 07:17:04.000,10.0.2.99,145.54.125.99,richard59,web,TCP,443,1336,2531,,,POST,/products,200.0,Normal
2026-01-01 07:18:34.000,10.0.2.13,10.0.6.182,cmccoy,auth,TCP,22,465,1125,SUCCESS,0.0,,,,Normal
2026-01-01 07:24:58.000,10.0.3.93,180.36.167.161,sharonwhite,web,TCP,443,2034,2143,,,GET,/search,200.0,Normal
2026-01-01 07:35:18.000,10.0.17.77,77.122.205.23,lisahancock,web,TCP,443,777,2563,,,GET,/cart,200.0,Normal
2026-01-01 07:49:18.000,10.0.3.99,10.0.6.247,cassandrasmith,network,UDP,21,3712,4537,,,,,,Normal
2026-01-01 07:49:49.000,10.0.5.180,10.0.11.149,richard59,network,UDP,21,3862,3218,,,,,,Normal
2026-01-01 07:58:24.000,10.0.20.160,79.34.253.88,fullerchristopher,web,TCP,443,2256,2320,,,POST,/products,200.0,Normal
2026-01-01 07:58:45.000,10.0.11.156,10.0.6.182,zbradshaw,network,UDP,3306,1110,2227,,,,,,Normal
2026-01-01 08:02:05.000,10.0.7.131,8.38.191.83,jlogan,web,TCP,443,747,2111,,,POST,/search,200.0,Normal
2026-01-01 08:03:26.000,10.0.12.22,10.0.7.37,fullerchristopher,auth,TCP,22,1649,746,SUCCESS,0.0,,,,Normal
2026-01-01 08:07:31.000,10.0.13.89,10.0.7.199,cassandrasmith,auth,TCP,22,903,774,SUCCESS,0.0,,,,Normal
2026-01-01 08:10:45.000,10.0.18.110,10.0.3.99,perryhector,network,UDP,22,2785,3706,,,,,,Normal
2026-01-01 08:17:23.000,10.0.3.251,10.0.8.208,perryhector,network,UDP,21,4674,2881,,,,,,Normal
2026-01-01 08:18:44.000,10.0.14.139,10.0.19.8,anthony91,auth,TCP,22,739,444,SUCCESS,0.0,,,,Normal
2026-01-01 08:35:12.000,10.0.7.37,54.103.38.104,ashleyhunter,web,TCP,443,1437,1199,,,GET,/products,200.0,Normal
2026-01-01 08:36:53.000,236.202.32.141,10.0.17.52,,web,TCP,443,286,139,,,POST,/search?q=1; DROP TABLE users--,403.0,Phishing/Web Attack
2026-01-01 08:55:03.000,10.0.9.254,10.0.17.77,robertfrench,auth,TCP,22,1526,1719,SUCCESS,0.0,,,,Normal
2026-01-01 08:59:24.000,10.0.2.99,124.200.24.218,brandon67,web,TCP,443,691,936,,,GET,/cart,200.0,Normal
2026-01-01 09:02:37.000,10.0.11.149,10.0.20.181,ashleyrios,network,UDP,21,4970,2460,,,,,,Normal
2026-01-01 09:03:45.000,10.0.20.160,10.0.19.8,kristen66,network,TCP,21,671,4626,,,,,,Normal
2026-01-01 09:07:41.000,10.0.7.131,10.0.17.109,nicoleescobar,auth,TCP,22,862,651,SUCCESS,0.0,,,,Normal
2026-01-01 09:14:47.000,10.0.7.37,10.0.9.254,ashleyrios,auth,TCP,22,224,867,SUCCESS,0.0,,,,Normal
2026-01-01 09:15:50.000,10.0.18.110,10.0.9.254,lauren40,auth,TCP,22,1166,1137,SUCCESS,0.0,,,,Normal
2026-01-01 09:17:20.000,10.0.12.22,221.114.141.87,cmccoy,web,TCP,443,1981,2297,,,GET,/cart,200.0,Normal
2026-01-01 09:20:14.000,10.0.2.13,10.0.2.220,fhooper,auth,TCP,22,699,1099,SUCCESS,0.0,,,,Normal
2026-01-01 09:32:33.000,10.0.12.22,10.0.20.181,zbradshaw,network,TCP,8080,1385,2501,,,,,,Normal
2026-01-01 09:46:45.000,190.253.143.232,10.0.2.57,,web,TCP,443,156,356,,,POST,/search?q=' OR '1'='1,500.0,Phishing/Web Attack
2026-01-01 09:47:07.000,10.0.19.8,10.0.3.99,fullerchristopher,network,TCP,3306,2439,632,,,,,,Normal
2026-01-01 09:50:17.000,186.106.120.209,10.0.3.99,,web,TCP,443,410,259,,,POST,/search?q=1; DROP TABLE users--,500.0,Phishing/Web Attack
2026-01-01 09:55:50.000,10.0.11.156,10.0.11.156,cassandrasmith,auth,TCP,22,853,627,SUCCESS,0.0,,,,Normal
2026-01-01 10:08:30.000,10.0.19.8,10.0.17.52,margaret00,auth,TCP,22,654,1867,SUCCESS,0.0,,,,Normal
2026-01-01 10:11:07.000,10.0.6.247,10.0.2.57,margaret00,auth,TCP,22,501,380,SUCCESS,0.0,,,,Normal
2026-01-01 10:13:43.000,36.91.106.196,10.0.13.89,,web,TCP,443,398,139,,,GET,/search?q=' OR '1'='1,403.0,Phishing/Web Attack
2026-01-01 10:21:43.000,10.0.2.99,10.0.5.180,margaret00,auth,TCP,22,1377,1424,SUCCESS,0.0,,,,Normal
2026-01-01 10:23:05.000,10.0.11.149,10.0.8.64,williamsjason,auth,TCP,22,1748,1536,SUCCESS,0.0,,,,Normal
2026-01-01 10:25:59.000,10.0.7.199,115.139.158.188,cassandrasmith,web,TCP,443,735,698,,,POST,/api/status,200.0,Normal
2026-01-01 10:31:07.000,10.0.2.13,10.0.12.22,joseph63,auth,TCP,22,1494,1829,SUCCESS,0.0,,,,Normal
2026-01-01 10:35:37.000,10.0.17.77,10.0.10.28,christian36,network,TCP,22,1865,1743,,,,,,Normal
2026-01-01 10:39:33.000,10.0.5.180,79.115.120.59,dustinschmidt,web,TCP,443,873,2959,,,POST,/home,200.0,Normal
2026-01-01 10:40:03.000,10.0.14.139,10.0.19.8,natashabailey,auth,TCP,22,1876,1391,SUCCESS,0.0,,,,Normal
2026-01-01 11:16:57.000,10.0.2.99,10.0.7.116,margaret00,auth,TCP,22,1778,1097,SUCCESS,0.0,,,,Normal
2026-01-01 11:23:49.000,192.12.197.190,10.0.1.188,,web,TCP,443,157,276,,,GET,/search?q=1; DROP TABLE users--,200.0,Phishing/Web Attack
2026-01-01 11:25:36.000,10.0.1.9,10.0.7.199,dustinschmidt,network,TCP,3306,1566,3386,,,,,,Normal
2026-01-01 11:29:34.000,10.0.3.251,10.0.19.8,webbchristopher,network,UDP,443,2758,4882,,,,,,Normal
2026-01-01 11:40:59.000,10.0.6.247,10.0.18.73,sharonwhite,network,TCP,443,3640,1365,,,,,,Normal
2026-01-01 11:50:10.000,10.0.5.180,237.108.48.229,natasha71,web,TCP,443,2207,1041,,,POST,/api/status,200.0,Normal
2026-01-01 11:54:21.000,10.0.18.110,207.50.205.21,natasha71,web,TCP,443,1924,1010,,,GET,/home,200.0,Normal
2026-01-01 12:15:24.000,10.0.7.199,14.45.218.73,jennifergonzalez,web,TCP,443,322,2502,,,POST,/products,200.0,Normal
2026-01-01 12:21:40.000,10.0.14.139,10.0.2.13,simpsondavid,auth,TCP,22,1854,582,SUCCESS,0.0,,,,Normal
2026-01-01 12:23:05.000,10.0.0.196,10.0.6.182,angel91,network,UDP,443,3062,2579,,,,,,Normal
2026-01-01 12:23:53.000,10.0.19.8,10.0.18.110,ashleyhunter,auth,TCP,22,234,405,SUCCESS,0.0,,,,Normal
2026-01-01 12:26:06.000,10.0.2.220,10.0.7.131,cmccoy,auth,TCP,22,703,867,SUCCESS,0.0,,,,Normal
2026-01-01 12:33:35.000,10.0.2.99,94.166.44.186,brownsamantha,web,TCP,443,391,842,,,GET,/cart,200.0,Normal
2026-01-01 12:45:23.000,10.0.17.109,10.0.2.220,peter52,auth,TCP,22,965,735,SUCCESS,0.0,,,,Normal
2026-01-01 12:49:13.000,10.0.7.37,184.141.253.217,martinezcheryl,web,TCP,443,2735,2114,,,GET,/search,200.0,Normal
2026-01-01 12:58:24.000,10.0.7.37,10.0.13.89,allenbeverly,network,UDP,3389,986,2537,,,,,,Normal
2026-01-01 13:06:06.000,35.206.154.234,10.0.7.199,,web,TCP,443,334,419,,,POST,/search?q=<script>alert(1)</script>,200.0,Phishing/Web Attack
2026-01-01 13:13:05.000,10.0.17.109,23.157.39.41,anthony91,web,TCP,443,2607,720,,,GET,/profile,200.0,Normal
2026-01-01 13:13:52.000,10.0.0.191,234.187.66.215,kellydorothy,web,TCP,443,1015,1062,,,GET,/home,200.0,Normal
2026-01-01 13:21:40.000,10.0.8.41,10.0.3.99,romanchristopher,auth,TCP,22,288,998,SUCCESS,0.0,,,,Normal
2026-01-01 13:26:17.000,10.0.17.52,10.0.7.37,robertfrench,auth,TCP,22,556,222,SUCCESS,0.0,,,,Normal
2026-01-01 13:29:31.000,10.0.18.110,102.234.53.159,davismartin,web,TCP,443,1485,1231,,,GET,/home,200.0,Normal
2026-01-01 13:48:20.000,10.0.6.182,10.0.14.139,ashleyhunter,auth,TCP,22,386,1943,SUCCESS,0.0,,,,Normal
2026-01-01 13:53:39.000,10.0.20.181,133.155.159.180,fullerchristopher,web,TCP,443,2600,1204,,,POST,/home,200.0,Normal
2026-01-01 13:57:56.000,10.0.13.89,10.0.1.9,cmccoy,auth,TCP,22,461,1096,SUCCESS,0.0,,,,Normal
2026-01-01 14:00:24.000,10.0.8.208,10.0.6.182,harperjason,network,UDP,22,1388,1167,,,,,,Normal
2026-01-01 14:01:03.000,10.0.7.131,10.0.20.160,jennifergonzalez,auth,TCP,22,848,1917,SUCCESS,0.0,,,,Normal
2026-01-01 14:03:52.000,10.0.1.188,10.0.18.110,dyerraymond,network,TCP,22,3310,975,,,,,,Normal
2026-01-01 14:13:10.000,10.0.2.220,10.0.1.9,ashleyhunter,auth,TCP,22,949,562,SUCCESS,0.0,,,,Normal
2026-01-01 14:22:08.000,10.0.6.182,204.212.241.7,sharonwhite,web,TCP,443,1504,844,,,GET,/search,200.0,Normal
2026-01-01 14:40:54.000,10.0.8.41,10.0.6.247,ebaker,network,TCP,3306,861,4227,,,,,,Normal
2026-01-01 14:47:16.000,10.0.17.109,10.0.13.89,lisahancock,auth,TCP,22,939,362,SUCCESS,0.0,,,,Normal
2026-01-01 14:47:55.000,10.0.20.160,117.76.125.243,anthony91,web,TCP,443,965,666,,,GET,/profile,200.0,Normal
2026-01-01 14:58:10.000,10.0.1.9,10.0.3.99,allenbeverly,network,UDP,443,2224,2834,,,,,,Normal
2026-01-01 14:58:23.000,10.0.17.52,192.104.76.79,natashabailey,web,TCP,443,560,1851,,,GET,/cart,200.0,Normal
2026-01-01 15:04:31.000,10.0.1.188,10.0.20.30,ashleyhunter,network,UDP,21,3785,1257,,,,,,Normal
2026-01-01 15:11:41.000,10.0.8.208,10.0.3.93,kristinschneider,network,TCP,3389,4500,2133,,,,,,Normal
2026-01-01 15:19:05.000,10.0.2.57,10.0.2.13,fullerchristopher,network,TCP,22,2804,3080,,,,,,Normal
2026-01-01 15:22:01.000,10.0.13.89,56.66.32.50,joseph63,web,TCP,443,1773,1386,,,GET,/home,200.0,Normal
2026-01-01 15:27:48.000,10.0.13.89,138.163.241.97,hickseric,web,TCP,443,670,1742,,,POST,/api/status,200.0,Normal
2026-01-01 15:28:42.000,10.0.0.191,72.213.231.97,lauren40,web,TCP,443,1239,839,,,POST,/api/status,200.0,Normal
2026-01-01 15:39:51.000,10.0.1.188,10.0.8.208,williamsdale,auth,TCP,22,1419,1689,SUCCESS,0.0,,,,Normal
2026-01-01 15:42:14.000,10.0.8.64,10.0.0.196,peter52,network,TCP,8080,1837,1684,,,,,,Normal
2026-01-01 15:52:06.000,10.0.5.180,10.0.3.251,dustinschmidt,auth,TCP,22,1524,1355,SUCCESS,0.0,,,,Normal
2026-01-01 15:53:30.000,10.0.20.160,10.0.20.181,allenbeverly,auth,TCP,22,1961,214,SUCCESS,0.0,,,,Normal
2026-01-01 16:00:34.000,10.0.20.30,148.243.20.217,brandon67,web,TCP,443,931,981,,,GET,/cart,200.0,Normal
2026-01-01 16:03:17.000,10.0.3.251,30.30.236.225,richard59,web,TCP,443,2959,1762,,,POST,/api/status,200.0,Normal
2026-01-01 16:14:47.000,10.0.1.9,10.0.17.24,anthony81,network,UDP,21,2105,3063,,,,,,Normal
2026-01-01 16:17:40.000,10.0.3.175,236.205.28.15,lauren40,web,TCP,443,2723,2434,,,GET,/api/status,200.0,Normal
2026-01-01 16:29:13.000,10.0.9.254,10.0.3.93,gvazquez,network,TCP,3389,1676,900,,,,,,Normal
2026-01-01 16:29:49.000,10.0.1.9,10.0.7.131,davismartin,network,TCP,22,3361,3976,,,,,,Normal
2026-01-01 16:36:31.000,10.0.19.8,224.233.242.221,dustinschmidt,web,TCP,443,2555,2604,,,POST,/search,200.0,Normal
2026-01-01 16:43:29.000,10.0.8.41,10.0.6.247,jennifer29,network,UDP,21,1232,4830,,,,,,Normal
2026-01-01 16:46:40.000,10.0.13.89,147.209.81.181,margaret00,web,TCP,443,811,2902,,,POST,/home,200.0,Normal
2026-01-01 17:07:04.000,10.0.17.24,10.0.7.199,natasha71,auth,TCP,22,449,873,SUCCESS,0.0,,,,Normal
2026-01-01 17:15:30.000,10.0.19.8,142.41.139.18,anthony81,web,TCP,443,436,666,,,GET,/search,200.0,Normal
2026-01-01 17:16:41.000,10.0.20.181,45.100.70.217,jennifergonzalez,web,TCP,443,541,2840,,,GET,/api/status,200.0,Normal
2026-01-01 17:25:07.000,10.0.18.73,10.0.7.131,woodvickie,auth,TCP,22,1440,225,SUCCESS,0.0,,,,Normal
2026-01-01 17:26:28.000,10.0.2.13,10.0.7.116,gregory21,auth,TCP,22,357,371,SUCCESS,0.0,,,,Normal
2026-01-01 17:34:03.000,10.0.3.99,10.0.1.188,anthony91,auth,TCP,22,338,1726,SUCCESS,0.0,,,,Normal
2026-01-01 17:36:01.000,114.138.157.248,10.0.8.41,,web,TCP,443,114,376,,,POST,"/search?q=""><img src=x onerror=alert(1)>",403.0,Phishing/Web Attack
2026-01-01 17:37:41.000,35.158.193.166,10.0.12.22,,web,TCP,443,378,382,,,POST,/search?q=' OR '1'='1,200.0,Phishing/Web Attack
2026-01-01 17:43:07.000,56.56.17.74,10.0.1.9,williamsjason,auth,TCP,22,115,89,FAILED,1.0,,,,Brute Force
2026-01-01 17:43:09.000,56.56.17.74,10.0.17.109,williamsjason,auth,TCP,22,55,67,FAILED,2.0,,,,Brute Force
